,wilayah,waktu,cuaca,kelembaban_persen,suhu_derajat_celcius,BanyakKotaRawan
10942,Jakarta Pusat,Dini Hari,Cerah Berawan,55-85,24-33,2
10943,Kepulauan Seribu,Dini Hari,Cerah Berawan,55-85,24-33,0
10944,Jakarta Barat,Dini Hari,Cerah Berawan,55-85,24-33,17
10945,Jakarta Timur,Dini Hari,Cerah Berawan,55-85,24-33,23
10946,Jakarta Utara,Malam,Cerah Berawan,55-85,24-33,15
10947,Jakarta Selatan,Dini Hari,Cerah Berawan,55-85,24-33,25
10948,Kepulauan Seribu,Malam,Cerah Berawan,55-85,24-33,0
10949,Jakarta Selatan,Malam,Berawan,55-85,24-33,25
10950,Jakarta Barat,Malam,Berawan,55-85,24-33,17
10951,Jakarta Timur,Malam,Berawan,55-85,24-33,23
10952,Jakarta Utara,Siang,Berawan,55-85,24-33,15
10953,Jakarta Pusat,Siang,Berawan,55-85,24-33,2
10954,Kepulauan Seribu,Siang,Cerah Berawan,55-85,24-33,0
10955,Jakarta Pusat,Malam,Cerah Berawan,55-85,24-33,2
10956,Jakarta Pusat,Siang,Cerah Berawan,70-90,24-33,2
10957,Jakarta Pusat,Malam,Berawan,70-90,24-33,2
10958,Kepulauan Seribu,Malam,Berawan,70-90,24-33,0
10959,Jakarta Selatan,Malam,Berawan,70-90,24-33,25
10960,Jakarta Barat,Malam,Berawan,70-90,24-33,17
10961,Jakarta Timur,Malam,Berawan,70-90,24-33,23
10962,Jakarta Utara,Siang,Cerah Berawan,70-90,24-33,15
10963,Kepulauan Seribu,Siang,Cerah Berawan,70-90,24-33,0
10964,Jakarta Barat,Pagi,Cerah Berawan,70-90,24-33,17
10965,Jakarta Barat,Siang,Cerah Berawan,70-90,24-33,17
10966,Jakarta Timur,Siang,Berawan,70-90,24-33,23
10967,Jakarta Utara,Pagi,Cerah Berawan,70-90,24-33,15
10968,Jakarta Pusat,Pagi,Cerah Berawan,70-90,24-33,2
10969,Kepulauan Seribu,Pagi,Berawan,70-90,24-33,0
10970,Jakarta Selatan,Pagi,Cerah Berawan,70-90,24-33,25
10971,Jakarta Timur,Pagi,Cerah Berawan,70-90,24-33,23
10972,Jakarta Selatan,Siang,Berawan,70-90,24-33,25
10973,Jakarta Utara,Malam,Berawan,70-90,24-33,15
10974,Jakarta Pusat,Dini Hari,Berawan,70-90,24-33,2
10975,Jakarta Barat,Dini Hari,Berawan,70-90,24-33,17
10976,Jakarta Timur,Dini Hari,Berawan,70-90,24-33,23
10977,Kepulauan Seribu,Dini Hari,Berawan,70-90,24-33,0
10978,Jakarta Selatan,Dini Hari,Berawan,70-90,24-33,25
10979,Jakarta Utara,Dini Hari,Berawan,70-90,24-33,15
10980,Jakarta Timur,Pagi,Cerah Berawan,50-85,23-33,23
10981,Jakarta Utara,Dini Hari,Cerah Berawan,50-85,23-33,15
10982,Jakarta Pusat,Dini Hari,Cerah Berawan,50-85,23-33,2
10983,Kepulauan Seribu,Dini Hari,Cerah Berawan,50-85,23-33,0
10984,Jakarta Selatan,Dini Hari,Cerah Berawan,50-85,23-33,25
10985,Jakarta Barat,Dini Hari,Cerah Berawan,50-85,23-33,17
10986,Jakarta Timur,Dini Hari,Cerah Berawan,50-85,23-33,23
10987,Jakarta Utara,Malam,Cerah Berawan,50-85,23-33,15
10988,Jakarta Selatan,Malam,Berawan,50-85,23-33,25
10989,Jakarta Barat,Malam,Berawan,50-85,23-33,17
10990,Jakarta Pusat,Malam,Cerah Berawan,50-85,23-33,2
10991,Jakarta Utara,Siang,Cerah,50-85,23-33,15
10992,Jakarta Barat,Pagi,Cerah,50-85,23-33,17
10993,Jakarta Timur,Malam,Berawan,50-85,23-33,23
10994,Kepulauan Seribu,Pagi,Cerah,50-85,23-33,0
10995,Jakarta Pusat,Pagi,Cerah,50-85,23-33,2
10996,Jakarta Utara,Pagi,Cerah,50-85,23-33,15
10997,Jakarta Selatan,Pagi,Cerah Berawan,50-85,23-33,25
10998,Jakarta Barat,Siang,Cerah Berawan,50-85,23-33,17
10999,Jakarta Selatan,Siang,Cerah Berawan,50-85,23-33,25
11000,Kepulauan Seribu,Siang,Cerah,50-85,23-33,0
11001,Jakarta Pusat,Siang,Cerah,50-85,23-33,2
11002,Jakarta Timur,Siang,Cerah Berawan,50-85,23-33,23
11003,Kepulauan Seribu,Malam,Cerah Berawan,50-85,23-33,0
11004,Jakarta Barat,Siang,Cerah Berawan,45-85,22-35,17
11005,Jakarta Timur,Pagi,Cerah,45-85,22-35,23
11006,Jakarta Barat,Pagi,Cerah Berawan,45-85,22-35,17
11007,Jakarta Selatan,Pagi,Cerah Berawan,45-85,22-35,25
11008,Kepulauan Seribu,Pagi,Cerah Berawan,45-85,22-35,0
11009,Jakarta Pusat,Pagi,Cerah,45-85,22-35,2
11010,Jakarta Utara,Pagi,Cerah,45-85,22-35,15
11011,Jakarta Timur,Siang,Cerah Berawan,45-85,22-35,23
11012,Jakarta Selatan,Siang,Cerah Berawan,45-85,22-35,25
11013,Jakarta Pusat,Siang,Cerah,45-85,22-35,2
11014,Kepulauan Seribu,Siang,Cerah,45-85,22-35,0
11015,Jakarta Utara,Dini Hari,Cerah Berawan,45-85,22-35,15
11016,Jakarta Pusat,Dini Hari,Cerah Berawan,45-85,22-35,2
11017,Jakarta Selatan,Dini Hari,Cerah Berawan,45-85,22-35,25
11018,Jakarta Barat,Dini Hari,Cerah Berawan,45-85,22-35,17
11019,Jakarta Timur,Dini Hari,Cerah Berawan,45-85,22-35,23
11020,Kepulauan Seribu,Dini Hari,Cerah Berawan,45-85,22-35,0
11021,Jakarta Pusat,Malam,Cerah Berawan,45-85,22-35,2
11022,Kepulauan Seribu,Malam,Cerah Berawan,45-85,22-35,0
11023,Jakarta Selatan,Malam,Cerah Berawan,45-85,22-35,25
11024,Jakarta Barat,Malam,Cerah Berawan,45-85,22-35,17
11025,Jakarta Timur,Malam,Cerah Berawan,45-85,22-35,23
11026,Jakarta Utara,Siang,Cerah,45-85,22-35,15
11027,Jakarta Utara,Malam,Cerah Berawan,45-85,22-35,15
11028,Jakarta Pusat,Dini Hari,Cerah,45-80,24-32,2
11029,Jakarta Timur,Dini Hari,Cerah,45-80,24-32,23
11030,Jakarta Utara,Malam,Cerah Berawan,45-80,24-32,15
11031,Jakarta Pusat,Malam,Cerah Berawan,45-80,24-32,2
11032,Kepulauan Seribu,Malam,Cerah Berawan,45-80,24-32,0
11033,Jakarta Selatan,Malam,Cerah Berawan,45-80,24-32,25
11034,Jakarta Barat,Malam,Cerah Berawan,45-80,24-32,17
11035,Jakarta Timur,Malam,Cerah Berawan,45-80,24-32,23
11036,Jakarta Pusat,Siang,Cerah Berawan,45-80,24-32,2
11037,Kepulauan Seribu,Pagi,Cerah Berawan,45-80,24-32,0
11038,Jakarta Selatan,Siang,Cerah Berawan,45-80,24-32,25
11039,Jakarta Barat,Siang,Cerah Berawan,45-80,24-32,17
11040,Jakarta Timur,Siang,Cerah Berawan,45-80,24-32,23
11041,Jakarta Utara,Pagi,Cerah Berawan,45-80,24-32,15
11042,Jakarta Pusat,Pagi,Cerah Berawan,45-80,24-32,2
11043,Jakarta Selatan,Pagi,Cerah Berawan,45-80,24-32,25
11044,Jakarta Barat,Pagi,Cerah Berawan,45-80,24-32,17
11045,Jakarta Timur,Pagi,Cerah Berawan,45-80,24-32,23
11046,Kepulauan Seribu,Siang,Cerah Berawan,45-80,24-32,0
11047,Jakarta Barat,Dini Hari,Cerah,45-80,24-32,17
11048,Jakarta Utara,Siang,Cerah Berawan,45-80,24-32,15
11049,Jakarta Utara,Dini Hari,Cerah,45-80,24-32,15
11050,Jakarta Selatan,Dini Hari,Cerah,45-80,24-32,25
11051,Kepulauan Seribu,Dini Hari,Cerah,45-80,24-32,0
11052,Jakarta Selatan,Pagi,Cerah Berawan,55-85,23-33,25
11053,Jakarta Utara,Dini Hari,Cerah Berawan,55-85,23-33,15
11054,Jakarta Pusat,Dini Hari,Cerah Berawan,55-85,23-33,2
11055,Kepulauan Seribu,Dini Hari,Cerah Berawan,55-85,23-33,0
11056,Jakarta Selatan,Dini Hari,Cerah Berawan,55-85,23-33,25
11057,Jakarta Timur,Pagi,Cerah Berawan,55-85,23-33,23
11058,Jakarta Timur,Dini Hari,Cerah Berawan,55-85,23-33,23
11059,Jakarta Utara,Malam,Cerah,55-85,23-33,15
11060,Jakarta Pusat,Malam,Cerah,55-85,23-33,2
11061,Kepulauan Seribu,Malam,Cerah,55-85,23-33,0
11062,Jakarta Selatan,Malam,Cerah,55-85,23-33,25
11063,Jakarta Barat,Dini Hari,Cerah Berawan,55-85,23-33,17
11064,Jakarta Timur,Malam,Cerah,55-85,23-33,23
11065,Jakarta Barat,Malam,Cerah,55-85,23-33,17
11066,Kepulauan Seribu,Pagi,Cerah Berawan,55-85,23-33,0
11067,Jakarta Pusat,Pagi,Cerah Berawan,55-85,23-33,2
11068,Jakarta Utara,Pagi,Cerah Berawan,55-85,23-33,15
11069,Jakarta Timur,Siang,Cerah Berawan,55-85,23-33,23
11070,Jakarta Barat,Pagi,Cerah Berawan,55-85,23-33,17
11071,Jakarta Selatan,Siang,Cerah Berawan,55-85,23-33,25
11072,Kepulauan Seribu,Siang,Cerah Berawan,55-85,23-33,0
11073,Jakarta Pusat,Siang,Cerah Berawan,55-85,23-33,2
11074,Jakarta Utara,Siang,Cerah Berawan,55-85,23-33,15
11075,Jakarta Barat,Siang,Cerah Berawan,55-85,23-33,17
11076,Jakarta Utara,Dini Hari,Cerah Berawan,55-85,23-33,15
11077,Kepulauan Seribu,Dini Hari,Cerah Berawan,55-85,23-33,0
11078,Jakarta Selatan,Dini Hari,Cerah Berawan,55-85,23-33,25
11079,Jakarta Barat,Dini Hari,Cerah Berawan,55-85,23-33,17
11080,Jakarta Timur,Dini Hari,Cerah Berawan,55-85,23-33,23
11081,Jakarta Utara,Malam,Cerah Berawan,55-85,23-33,15
11082,Jakarta Pusat,Malam,Cerah Berawan,55-85,23-33,2
11083,Kepulauan Seribu,Malam,Cerah Berawan,55-85,23-33,0
11084,Jakarta Selatan,Malam,Cerah Berawan,55-85,23-33,25
11085,Jakarta Barat,Malam,Cerah Berawan,55-85,23-33,17
11086,Jakarta Pusat,Dini Hari,Cerah Berawan,55-85,23-33,2
11087,Jakarta Timur,Malam,Cerah Berawan,55-85,23-33,23
11088,Kepulauan Seribu,Siang,Cerah Berawan,55-85,23-33,0
11089,Jakarta Pusat,Siang,Cerah,55-85,23-33,2
11090,Jakarta Timur,Pagi,Cerah Berawan,55-85,23-33,23
11091,Jakarta Barat,Pagi,Cerah Berawan,55-85,23-33,17
11092,Jakarta Selatan,Pagi,Cerah Berawan,55-85,23-33,25
11093,Kepulauan Seribu,Pagi,Cerah,55-85,23-33,0
11094,Jakarta Utara,Siang,Cerah,55-85,23-33,15
11095,Jakarta Utara,Pagi,Cerah,55-85,23-33,15
11096,Jakarta Timur,Siang,Cerah Berawan,55-85,23-33,23
11097,Jakarta Barat,Siang,Cerah Berawan,55-85,23-33,17
11098,Jakarta Selatan,Siang,Cerah Berawan,55-85,23-33,25
11099,Jakarta Pusat,Pagi,Cerah,55-85,23-33,2
11100,Kepulauan Seribu,Dini Hari,Cerah,45-90,22-33,0
11101,Jakarta Selatan,Dini Hari,Cerah Berawan,45-90,22-33,25
11102,Jakarta Barat,Dini Hari,Cerah Berawan,45-90,22-33,17
11103,Jakarta Timur,Dini Hari,Cerah Berawan,45-90,22-33,23
11104,Jakarta Utara,Malam,Cerah Berawan,45-90,22-33,15
11105,Jakarta Pusat,Malam,Cerah Berawan,45-90,22-33,2
11106,Kepulauan Seribu,Malam,Cerah,45-90,22-33,0
11107,Jakarta Selatan,Malam,Cerah Berawan,45-90,22-33,25
11108,Jakarta Barat,Malam,Cerah,45-90,22-33,17
11109,Jakarta Timur,Malam,Cerah Berawan,45-90,22-33,23
11110,Jakarta Pusat,Siang,Cerah Berawan,45-90,22-33,2
11111,Kepulauan Seribu,Siang,Cerah,45-90,22-33,0
11112,Jakarta Selatan,Siang,Cerah Berawan,45-90,22-33,25
11113,Jakarta Barat,Siang,Cerah Berawan,45-90,22-33,17
11114,Jakarta Utara,Pagi,Cerah,45-90,22-33,15
11115,Jakarta Pusat,Pagi,Cerah Berawan,45-90,22-33,2
11116,Kepulauan Seribu,Pagi,Cerah,45-90,22-33,0
11117,Jakarta Selatan,Pagi,Cerah Berawan,45-90,22-33,25
11118,Jakarta Barat,Pagi,Cerah Berawan,45-90,22-33,17
11119,Jakarta Timur,Pagi,Cerah Berawan,45-90,22-33,23
11120,Jakarta Utara,Siang,Cerah,45-90,22-33,15
11121,Jakarta Timur,Siang,Cerah Berawan,45-90,22-33,23
11122,Jakarta Utara,Dini Hari,Cerah Berawan,45-90,22-33,15
11123,Jakarta Pusat,Dini Hari,Cerah Berawan,45-90,22-33,2
11124,Jakarta Pusat,Dini Hari,Berawan,40-95,22-33,2
11125,Kepulauan Seribu,Dini Hari,Berawan,40-95,22-33,0
11126,Jakarta Timur,Pagi,Cerah Berawan,40-95,22-33,23
11127,Jakarta Barat,Pagi,Cerah Berawan,40-95,22-33,17
11128,Jakarta Selatan,Pagi,Cerah Berawan,40-95,22-33,25
11129,Kepulauan Seribu,Pagi,Cerah Berawan,40-95,22-33,0
11130,Jakarta Pusat,Pagi,Cerah Berawan,40-95,22-33,2
11131,Jakarta Utara,Pagi,Cerah Berawan,40-95,22-33,15
11132,Jakarta Timur,Siang,Cerah Berawan,40-95,22-33,23
11133,Jakarta Barat,Siang,Cerah Berawan,40-95,22-33,17
11134,Jakarta Selatan,Siang,Cerah Berawan,40-95,22-33,25
11135,Kepulauan Seribu,Siang,Cerah Berawan,40-95,22-33,0
11136,Jakarta Utara,Dini Hari,Berawan,40-95,22-33,15
11137,Jakarta Utara,Siang,Cerah Berawan,40-95,22-33,15
11138,Jakarta Timur,Malam,Berawan,40-95,22-33,23
11139,Jakarta Barat,Malam,Berawan,40-95,22-33,17
11140,Jakarta Selatan,Malam,Berawan,40-95,22-33,25
11141,Kepulauan Seribu,Malam,Berawan,40-95,22-33,0
11142,Jakarta Pusat,Malam,Berawan,40-95,22-33,2
11143,Jakarta Utara,Malam,Berawan,40-95,22-33,15
11144,Jakarta Timur,Dini Hari,Berawan,40-95,22-33,23
11145,Jakarta Barat,Dini Hari,Berawan,40-95,22-33,17
11146,Jakarta Selatan,Dini Hari,Berawan,40-95,22-33,25
11147,Jakarta Pusat,Siang,Cerah Berawan,40-95,22-33,2
11148,Kepulauan Seribu,Siang,Cerah Berawan,45-80,22-33,0
11149,Jakarta Selatan,Siang,Cerah Berawan,45-80,22-33,25
11150,Jakarta Barat,Siang,Cerah Berawan,45-80,22-33,17
11151,Jakarta Timur,Siang,Cerah Berawan,45-80,22-33,23
11152,Jakarta Barat,Pagi,Cerah Berawan,45-80,22-33,17
11153,Jakarta Pusat,Pagi,Berawan,45-80,22-33,2
11154,Kepulauan Seribu,Pagi,Berawan,45-80,22-33,0
11155,Jakarta Selatan,Pagi,Cerah Berawan,45-80,22-33,25
11156,Jakarta Pusat,Siang,Cerah Berawan,45-80,22-33,2
11157,Jakarta Utara,Pagi,Berawan,45-80,22-33,15
11158,Jakarta Utara,Siang,Cerah Berawan,45-80,22-33,15
11159,Jakarta Pusat,Malam,Berawan,45-80,22-33,2
11160,Jakarta Barat,Malam,Berawan,45-80,22-33,17
11161,Jakarta Selatan,Malam,Cerah Berawan,45-80,22-33,25
11162,Kepulauan Seribu,Malam,Cerah Berawan,45-80,22-33,0
11163,Jakarta Utara,Malam,Berawan,45-80,22-33,15
11164,Jakarta Timur,Dini Hari,Cerah Berawan,45-80,22-33,23
11165,Jakarta Barat,Dini Hari,Cerah Berawan,45-80,22-33,17
11166,Jakarta Selatan,Dini Hari,Cerah Berawan,45-80,22-33,25
11167,Kepulauan Seribu,Dini Hari,Berawan,45-80,22-33,0
11168,Jakarta Pusat,Dini Hari,Cerah Berawan,45-80,22-33,2
11169,Jakarta Timur,Pagi,Cerah Berawan,45-80,22-33,23
11170,Jakarta Timur,Malam,Cerah Berawan,45-80,22-33,23
11171,Jakarta Utara,Dini Hari,Cerah Berawan,45-80,22-33,15
11172,Jakarta Utara,Dini Hari,Cerah Berawan,45-75,22-32,15
11173,Jakarta Timur,Pagi,Cerah,45-75,22-32,23
11174,Kepulauan Seribu,Dini Hari,Cerah Berawan,45-75,22-32,0
11176,Jakarta Barat,Dini Hari,Cerah Berawan,45-75,22-32,17
11178,Jakarta Utara,Malam,Cerah Berawan,45-75,22-32,15
11179,Jakarta Pusat,Malam,Cerah Berawan,45-75,22-32,2
11180,Kepulauan Seribu,Malam,Cerah,45-75,22-32,0
11181,Jakarta Selatan,Malam,Berawan,45-75,22-32,25
11182,Jakarta Barat,Malam,Cerah Berawan,45-75,22-32,17
11183,Jakarta Timur,Malam,Berawan,45-75,22-32,23
11184,Jakarta Barat,Pagi,Cerah Berawan,45-75,22-32,17
11185,Jakarta Utara,Siang,Cerah Berawan,45-75,22-32,15
11186,Jakarta Pusat,Siang,Cerah Berawan,45-75,22-32,2
11187,Kepulauan Seribu,Siang,Cerah Berawan,45-75,22-32,0
11188,Jakarta Selatan,Siang,Cerah Berawan,45-75,22-32,25
11189,Jakarta Barat,Siang,Cerah Berawan,45-75,22-32,17
11190,Jakarta Timur,Siang,Cerah Berawan,45-75,22-32,23
11191,Jakarta Utara,Pagi,Cerah Berawan,45-75,22-32,15
11192,Jakarta Pusat,Pagi,Cerah Berawan,45-75,22-32,2
11193,Kepulauan Seribu,Pagi,Cerah Berawan,45-75,22-32,0
11194,Jakarta Selatan,Pagi,Cerah,45-75,22-32,25
11195,Jakarta Pusat,Dini Hari,Cerah Berawan,45-75,22-32,2
11196,Jakarta Barat,Pagi,Cerah Berawan,45-80,22-32,17
11197,Jakarta Timur,Pagi,Cerah Berawan,45-80,22-32,23
11198,Jakarta Utara,Dini Hari,Berawan,45-80,22-32,15
11199,Jakarta Selatan,Pagi,Cerah Berawan,45-80,22-32,25
11200,Kepulauan Seribu,Pagi,Cerah Berawan,45-80,22-32,0
11201,Jakarta Pusat,Pagi,Cerah Berawan,45-80,22-32,2
11202,Jakarta Utara,Pagi,Cerah Berawan,45-80,22-32,15
11203,Jakarta Timur,Siang,Cerah,45-80,22-32,23
11204,Jakarta Barat,Siang,Cerah Berawan,45-80,22-32,17
11205,Jakarta Selatan,Siang,Cerah Berawan,45-80,22-32,25
11206,Kepulauan Seribu,Siang,Cerah Berawan,45-80,22-32,0
11207,Jakarta Pusat,Siang,Cerah,45-80,22-32,2
11208,Jakarta Utara,Siang,Cerah,45-80,22-32,15
11209,Jakarta Timur,Malam,Cerah Berawan,45-80,22-32,23
11210,Jakarta Barat,Malam,Cerah Berawan,45-80,22-32,17
11211,Jakarta Selatan,Malam,Cerah Berawan,45-80,22-32,25
11212,Kepulauan Seribu,Malam,Cerah Berawan,45-80,22-32,0
11213,Jakarta Pusat,Malam,Cerah Berawan,45-80,22-32,2
11214,Jakarta Utara,Malam,Cerah Berawan,45-80,22-32,15
11215,Jakarta Timur,Dini Hari,Berawan,45-80,22-32,23
11216,Jakarta Barat,Dini Hari,Berawan,45-80,22-32,17
11217,Jakarta Selatan,Dini Hari,Berawan,45-80,22-32,25
11218,Kepulauan Seribu,Dini Hari,Berawan,45-80,22-32,0
11219,Jakarta Pusat,Dini Hari,Berawan,45-80,22-32,2
11220,Jakarta Barat,Pagi,Berawan,45-80,23-32,17
11221,Jakarta Timur,Pagi,Berawan,45-80,23-32,23
11222,Jakarta Selatan,Pagi,Berawan,45-80,23-32,25
11223,Jakarta Utara,Dini Hari,Cerah Berawan,45-80,23-32,15
11224,Kepulauan Seribu,Dini Hari,Cerah Berawan,45-80,23-32,0
11225,Jakarta Selatan,Dini Hari,Cerah Berawan,45-80,23-32,25
11226,Jakarta Barat,Dini Hari,Cerah Berawan,45-80,23-32,17
11227,Jakarta Timur,Dini Hari,Cerah Berawan,45-80,23-32,23
11228,Jakarta Utara,Malam,Cerah Berawan,45-80,23-32,15
11229,Jakarta Pusat,Malam,Cerah Berawan,45-80,23-32,2
11230,Kepulauan Seribu,Malam,Cerah Berawan,45-80,23-32,0
11231,Jakarta Selatan,Malam,Cerah Berawan,45-80,23-32,25
11232,Jakarta Barat,Malam,Cerah Berawan,45-80,23-32,17
11233,Jakarta Timur,Malam,Cerah Berawan,45-80,23-32,23
11234,Jakarta Utara,Siang,Berawan,45-80,23-32,15
11235,Jakarta Pusat,Siang,Berawan,45-80,23-32,2
11236,Kepulauan Seribu,Siang,Berawan,45-80,23-32,0
11237,Jakarta Selatan,Siang,Berawan,45-80,23-32,25
11238,Jakarta Barat,Siang,Cerah Berawan,45-80,23-32,17
11239,Jakarta Timur,Siang,Berawan,45-80,23-32,23
11240,Jakarta Utara,Pagi,Berawan,45-80,23-32,15
11241,Jakarta Pusat,Pagi,Berawan,45-80,23-32,2
11242,Kepulauan Seribu,Pagi,Berawan,45-80,23-32,0
11243,Jakarta Pusat,Dini Hari,Cerah Berawan,45-80,23-32,2
11244,Jakarta Selatan,Pagi,Cerah Berawan,55-85,23-32,25
11245,Kepulauan Seribu,Pagi,Berawan,55-85,23-32,0
11246,Jakarta Utara,Dini Hari,Hujan Lokal,55-85,23-32,15
11247,Jakarta Pusat,Pagi,Berawan,55-85,23-32,2
11248,Jakarta Utara,Pagi,Berawan,55-85,23-32,15
11249,Jakarta Timur,Siang,Hujan Lokal,55-85,23-32,23
11250,Jakarta Barat,Siang,Berawan,55-85,23-32,17
11251,Jakarta Selatan,Siang,Hujan Lokal,55-85,23-32,25
11252,Kepulauan Seribu,Siang,Cerah Berawan,55-85,23-32,0
11253,Jakarta Pusat,Siang,Berawan,55-85,23-32,2
11254,Jakarta Utara,Siang,Cerah Berawan,55-85,23-32,15
11255,Jakarta Barat,Pagi,Cerah Berawan,55-85,23-32,17
11256,Jakarta Barat,Malam,Hujan Lokal,55-85,23-32,17
11257,Jakarta Selatan,Malam,Berawan,55-85,23-32,25
11258,Kepulauan Seribu,Malam,Cerah Berawan,55-85,23-32,0
11259,Jakarta Pusat,Malam,Hujan Lokal,55-85,23-32,2
11260,Jakarta Utara,Malam,Berawan,55-85,23-32,15
11261,Jakarta Timur,Dini Hari,Berawan,55-85,23-32,23
11262,Jakarta Barat,Dini Hari,Hujan Lokal,55-85,23-32,17
11263,Jakarta Selatan,Dini Hari,Berawan,55-85,23-32,25
11264,Kepulauan Seribu,Dini Hari,Hujan Sedang,55-85,23-32,0
11265,Jakarta Pusat,Dini Hari,Hujan Lokal,55-85,23-32,2
11266,Jakarta Timur,Pagi,Cerah Berawan,55-85,23-32,23
11267,Jakarta Timur,Malam,Berawan,55-85,23-32,23
11268,Jakarta Timur,Malam,Berawan,55-85,24-32,23
11269,Jakarta Utara,Dini Hari,Berawan,55-85,24-32,15
11270,Jakarta Selatan,Dini Hari,Berawan,55-85,24-32,25
11271,Jakarta Barat,Dini Hari,Berawan,55-85,24-32,17
11272,Jakarta Timur,Dini Hari,Berawan,55-85,24-32,23
11273,Jakarta Utara,Malam,Berawan,55-85,24-32,15
11274,Jakarta Pusat,Malam,Berawan,55-85,24-32,2
11275,Kepulauan Seribu,Malam,Berawan,55-85,24-32,0
11276,Jakarta Selatan,Malam,Hujan Lokal,55-85,24-32,25
11277,Jakarta Barat,Malam,Berawan,55-85,24-32,17
11278,Jakarta Utara,Siang,Cerah Berawan,55-85,24-32,15
11279,Jakarta Pusat,Siang,Berawan,55-85,24-32,2
11280,Kepulauan Seribu,Siang,Cerah Berawan,55-85,24-32,0
11281,Jakarta Selatan,Siang,Hujan Lokal,55-85,24-32,25
11282,Jakarta Barat,Siang,Hujan Lokal,55-85,24-32,17
11283,Jakarta Timur,Siang,Hujan Lokal,55-85,24-32,23
11284,Jakarta Utara,Pagi,Cerah Berawan,55-85,24-32,15
11285,Jakarta Pusat,Pagi,Cerah Berawan,55-85,24-32,2
11286,Kepulauan Seribu,Pagi,Cerah Berawan,55-85,24-32,0
11287,Jakarta Selatan,Pagi,Cerah Berawan,55-85,24-32,25
11288,Jakarta Barat,Pagi,Cerah Berawan,55-85,24-32,17
11289,Kepulauan Seribu,Dini Hari,Berawan,55-85,24-32,0
11290,Jakarta Pusat,Dini Hari,Berawan,55-85,24-32,2
11291,Jakarta Timur,Pagi,Cerah Berawan,55-85,24-32,23
11292,Jakarta Timur,Pagi,Cerah Berawan,60-85,24-33,23
11293,Jakarta Selatan,Pagi,Cerah Berawan,60-85,24-33,25
11294,Kepulauan Seribu,Pagi,Cerah Berawan,60-85,24-33,0
11295,Jakarta Pusat,Pagi,Cerah Berawan,60-85,24-33,2
11296,Jakarta Utara,Pagi,Cerah Berawan,60-85,24-33,15
11297,Jakarta Timur,Siang,Cerah Berawan,60-85,24-33,23
11298,Jakarta Barat,Siang,Berawan,60-85,24-33,17
11299,Jakarta Selatan,Siang,Cerah Berawan,60-85,24-33,25
11300,Kepulauan Seribu,Siang,Cerah Berawan,60-85,24-33,0
11301,Jakarta Pusat,Siang,Cerah Berawan,60-85,24-33,2
11302,Jakarta Utara,Siang,Cerah Berawan,60-85,24-33,15
11303,Jakarta Timur,Malam,Berawan,60-85,24-33,23
11304,Jakarta Barat,Malam,Berawan,60-85,24-33,17
11305,Jakarta Selatan,Malam,Hujan Lokal,60-85,24-33,25
11306,Kepulauan Seribu,Malam,Berawan,60-85,24-33,0
11307,Jakarta Pusat,Malam,Berawan,60-85,24-33,2
11308,Jakarta Utara,Malam,Berawan,60-85,24-33,15
11309,Jakarta Timur,Dini Hari,Cerah Berawan,60-85,24-33,23
11310,Jakarta Barat,Dini Hari,Cerah Berawan,60-85,24-33,17
11311,Jakarta Selatan,Dini Hari,Berawan,60-85,24-33,25
11312,Kepulauan Seribu,Dini Hari,Cerah Berawan,60-85,24-33,0
11313,Jakarta Pusat,Dini Hari,Cerah Berawan,60-85,24-33,2
11314,Jakarta Utara,Dini Hari,Cerah Berawan,60-85,24-33,15
11315,Jakarta Barat,Pagi,Cerah Berawan,60-85,24-33,17
11316,Jakarta Utara,Siang,Cerah,60-80,23-32,15
11317,Jakarta Pusat,Siang,Cerah,60-80,23-32,2
11318,Jakarta Barat,Dini Hari,Cerah Berawan,60-80,23-32,17
11319,Jakarta Timur,Dini Hari,Cerah Berawan,60-80,23-32,23
11320,Jakarta Utara,Malam,Berawan,60-80,23-32,15
11321,Jakarta Pusat,Malam,Berawan,60-80,23-32,2
11322,Kepulauan Seribu,Malam,Berawan,60-80,23-32,0
11323,Jakarta Selatan,Malam,Berawan,60-80,23-32,25
11324,Jakarta Barat,Malam,Berawan,60-80,23-32,17
11325,Jakarta Timur,Malam,Berawan,60-80,23-32,23
11326,Jakarta Pusat,Dini Hari,Cerah Berawan,60-80,23-32,2
11327,Jakarta Selatan,Dini Hari,Cerah Berawan,60-80,23-32,25
11328,Jakarta Utara,Dini Hari,Cerah Berawan,60-80,23-32,15
11329,Jakarta Selatan,Siang,Cerah Berawan,60-80,23-32,25
11330,Jakarta Barat,Siang,Cerah Berawan,60-80,23-32,17
11331,Jakarta Timur,Siang,Cerah Berawan,60-80,23-32,23
11332,Jakarta Utara,Pagi,Cerah Berawan,60-80,23-32,15
11333,Jakarta Pusat,Pagi,Cerah Berawan,60-80,23-32,2
11334,Kepulauan Seribu,Pagi,Berawan,60-80,23-32,0
11335,Jakarta Selatan,Pagi,Cerah Berawan,60-80,23-32,25
11336,Jakarta Barat,Pagi,Cerah Berawan,60-80,23-32,17
11337,Jakarta Timur,Pagi,Cerah Berawan,60-80,23-32,23
11338,Kepulauan Seribu,Siang,Cerah,60-80,23-32,0
11339,Kepulauan Seribu,Dini Hari,Cerah Berawan,60-80,23-32,0
